,timestamp,username,screen_name,user_id,tweet_id,text,likes,replies,retweets,tweet_url,parent_tweet_id
0,2020-03-25 23:59:03,Ronald,Big_Roon,227441776,1242964244594819076,"I didn’t usually go out and do things, but having the option to was nice. Honestly I just wanna go to the OG (Olive Garden for you plebes). But alas, health above all else. Wash your hands, folks.",1,0,0,/Big_Roon/status/1242964244594819076,
1,2020-03-25 23:56:27,Mike Whelan,mikewhelanjr,167431775,1242963589587177473,"But if I don't go there where will I pay $20 for a completely underwhelming pasta dish?

Maybe Olive Garden is still open...",2,0,0,/mikewhelanjr/status/1242963589587177473,1242927230055038982
2,2020-03-25 23:56:11,B❣️,BalletVibes,1309171393,1242963521534455809,OLIVE GARDEN IS DOING BUY ONE TAKE ONE HOME RN !!,4,1,0,/BalletVibes/status/1242963521534455809,
3,2020-03-25 23:48:38,pat,patric_star25,1890585522,1242961620193677315,ordering red lobster or Olive Garden for bday. Fuck a quarantine 😟,3,0,0,/patric_star25/status/1242961620193677315,
4,2020-03-25 23:46:39,Duff🎈,Duffgotjuice,874492939296264192,1242961123328098305,Went and got a pick up order from Olive Garden then took the long way home. That’s how much I was dreading it. I miss outside. 😢,2,0,0,/Duffgotjuice/status/1242961123328098305,
5,2020-03-25 23:45:43,Tiffany,TiffNicole18,32823163,1242960887746609152,I went and got food last night.  Do you guys have Olive Garden out there?  They're doing buy one meal get one for $12.99.,1,0,0,/TiffNicole18/status/1242960887746609152,1242960429036392448
6,2020-03-25 23:42:25,Emotionally Doomed,MMMMMaybach,42267115,1242960056318144512,Olive Garden gonna come out the other side of this doing the best. Their food to go is going to taste just like at the restaurant. All you’ll need to do is microwave it and voila you’re in Italy,5,1,1,/MMMMMaybach/status/1242960056318144512,
7,2020-03-25 23:41:53,ant poon?,_KingPoon_,1123200042,1242959921773252609,Damn I want Olive Garden,0,1,0,/_KingPoon_/status/1242959921773252609,
8,2020-03-25 23:41:12,Zeus... Who's that??,Yaboii_Zeus,804059830357032960,1242959751358660608,Made some homemade Zuppa Toscana because Olive Garden's taste like toilet water. Always happy with how it turns out. Can't skimp yourself on potatoes or meat when you make it yourself 😍😍,10,4,0,/Yaboii_Zeus/status/1242959751358660608,
9,2020-03-25 23:38:01,I disagree,OwnLibs2,1237171244019019776,1242958951324332032,"The Cheesecake Factory is pure USA just like The Olive Garden.

PACK THE CHURCH ON EASTER FOR USA GOD",1,0,0,/OwnLibs2/status/1242958951324332032,
10,2020-03-25 23:37:44,DRE-DAY,ThatniggaDayDre,1236687924,1242958878675001355,I want some food from the Olive Garden,0,0,0,/ThatniggaDayDre/status/1242958878675001355,
11,2020-03-25 23:35:41,"M. Rosewuff, the Dreamless",HauntedMalamute,922579038727737344,1242958363597643776,I always thought the Olive Garden thing was pretty non sequitur for product placement in the Sonic film...now it all makes sense!,2,0,0,/HauntedMalamute/status/1242958363597643776,1242929855693545472
12,2020-03-25 23:33:04,Dina Kwit,dinakwit,44150716,1242957705603579908,Things to Do: 1. practice social distancing. 2. Check on my family and friends. 3. Order dinner from Olive Garden to Go. Simply https://bit.ly/3avFdh3  and place your on-line order.  “We’re all family here”. See you soon! @olivegardenpic.twitter.com/2AaXbu5orP,2,0,0,/dinakwit/status/1242957705603579908,
13,2020-03-25 23:29:17,🤦‍♀️,afantasticdream,735323656654585858,1242956753785978881,“Some people have the Eiffel Tower....... or Olive Garden.....”,0,1,0,/afantasticdream/status/1242956753785978881,
14,2020-03-25 23:28:16,Kariona Grande™️,karollbaskin,1247874241,1242956495672750082,Picnic with olive garden and my favorite drink 🥰,0,0,0,/karollbaskin/status/1242956495672750082,
15,2020-03-25 23:26:08,Whitney,crewsum,96388421,1242955961951834112,Took advantage of the bogo free at Olive Garden and my meal was 🔥,0,0,0,/crewsum/status/1242955961951834112,
16,2020-03-25 23:25:03,Pokemon Breeder Camaxus,CamaxusD,813926684672016384,1242955687728160769,Local business? I feel like he couldn't name 3 local businesses in his area. He probably went to Olive Garden or something,1,0,0,/CamaxusD/status/1242955687728160769,1242876102562938882
17,2020-03-22 23:59:45,✨,MsAriesMoon,1162534475697233921,1241877257158717442,"See that’s the thing, I don’t give a shit about my lactose intolerance but I won’t risk it for some bland ass Olive Garden 😂 https://twitter.com/riahleann/status/1241876848985935872 …",8,1,1,/MsAriesMoon/status/1241877257158717442,
18,2020-03-22 23:57:09,twerk N tarot 🔮 ✨,ghostladyy,1188269947350405123,1241876601312350208,Damn i like olive garden lmaoo https://twitter.com/MsAriesMoon/status/1241875130298421248 …,1,2,0,/ghostladyy/status/1241876601312350208,
19,2020-03-22 23:56:41,Aylin,aylinf98,820091552747950080,1241876485461467137,Craving Olive Garden salad with a breadstick omg 🥺🥺🥺 sigh 😔,1,1,0,/aylinf98/status/1241876485461467137,
20,2020-03-22 23:55:02,L,godliljokeyjoke,1204994781266554882,1241876070929969154,I'm trynna be boo'd up getting banned from the local olive garden for fucking over the soup or salad wasted off Lonestar,2,0,0,/godliljokeyjoke/status/1241876070929969154,
21,2020-03-22 23:54:00,Savage XXI 🧜🏾‍♀️,camirajt,834283209256996868,1241875808270143489,"Like no, pls don’t take me to Olive Garden for anything other than salad and breadsticks lol",1,1,0,/camirajt/status/1241875808270143489,
22,2020-03-22 23:52:59,Savage XXI 🧜🏾‍♀️,camirajt,834283209256996868,1241875551691956232,Man a few months ago I had Olive Garden for the first time in years and I understand completely lmao,0,1,0,/camirajt/status/1241875551691956232,1241875130298421248
23,2020-03-22 23:52:44,gorjus,kersheyhisses,4363811292,1241875489070829568,:(( I like Olive Garden,1,1,0,/kersheyhisses/status/1241875489070829568,1241875130298421248
24,2020-03-22 23:51:35,OCHO CINCO WANTED ME,VickyLynnLovey,975710915659169792,1241875199613702144,You missed out then cause before Olive Garden had the best breadsticks but because it’s so popular of course at some point the quality is going to go down,0,0,0,/VickyLynnLovey/status/1241875199613702144,1241874087854538752
25,2020-03-22 23:51:18,✨,MsAriesMoon,1162534475697233921,1241875130298421248,Like imagine someone asking you on a date and they were like “How about Olive Garden?” pic.twitter.com/9y0BngWfCB,202,27,41,/MsAriesMoon/status/1241875130298421248,
26,2020-03-22 23:46:07,Inna,allaboutinnaa,1198028632867905536,1241873827216359426,Olive Garden looks disgusting,1,1,0,/allaboutinnaa/status/1241873827216359426,1241873271672287233
27,2020-03-22 23:46:05,Soft Chai 👩🏾‍🦱,vanillaorchidss,1211351802811039744,1241873817368231936,Woah! What’s wrong with Olive Garden?,3,0,1,/vanillaorchidss/status/1241873817368231936,1241873271672287233
28,2020-03-22 23:44:25,Vicki Brenner 🏡🌻,Vickiinmyhead,23745608,1241873399414173697,So I put on a Quarantine Facebook prom with my friends. Complete with Mazzy Star and I even made my house smell like Olive Garden pic.twitter.com/xmrwqSF4Ee,21,0,0,/Vickiinmyhead/status/1241873399414173697,
29,2020-03-22 23:43:55,✨,MsAriesMoon,1162534475697233921,1241873271672287233,Can’t trust someone who eats at Olive Garden. 💀,366,34,95,/MsAriesMoon/status/1241873271672287233,
30,2020-03-22 23:41:02,Dave Ridnell,DaveRidnell,330684439,1241872546598801408,Nice Olive Garden hoodie.,1,0,0,/DaveRidnell/status/1241872546598801408,1241864016269660160
